target_conductivity,repeat,generation_idx,num_samples,validity,uniqueness,novelty,run_csv
0,3,25,1024,0.7958984375,0.9931640625,0.900390625,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat03_gen25.csv
0,3,26,1024,0.806640625,0.9892578125,0.904296875,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat03_gen26.csv
0,3,27,1024,0.7802734375,0.994140625,0.9169921875,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat03_gen27.csv
0,3,28,1024,0.8076171875,0.9912109375,0.9130859375,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat03_gen28.csv
0,3,29,1024,0.7919921875,0.9892578125,0.8916015625,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat03_gen29.csv
0,3,30,1024,0.7958984375,0.994140625,0.9189453125,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat03_gen30.csv
0,3,31,1024,0.8125,0.986328125,0.8857421875,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat03_gen31.csv
0,3,32,1024,0.8095703125,0.986328125,0.90234375,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat03_gen32.csv
0,3,33,1024,0.8095703125,0.9921875,0.87109375,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat03_gen33.csv
0,3,34,1024,0.80859375,0.9921875,0.888671875,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat03_gen34.csv
0,3,35,1024,0.8203125,0.9912109375,0.8955078125,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat03_gen35.csv
0,3,36,1024,0.8056640625,0.9921875,0.8994140625,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat03_gen36.csv
0,3,37,1024,0.791015625,0.98828125,0.8955078125,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat03_gen37.csv
0,3,38,1024,0.8046875,0.9912109375,0.8955078125,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat03_gen38.csv
0,3,39,1024,0.796875,0.9912109375,0.88671875,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat03_gen39.csv
0,3,40,1024,0.81640625,0.990234375,0.8857421875,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat03_gen40.csv
0,3,41,1024,0.8134765625,0.9912109375,0.9013671875,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat03_gen41.csv
0,3,42,1024,0.80078125,0.98828125,0.896484375,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat03_gen42.csv
0,3,43,1024,0.814453125,0.986328125,0.8896484375,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat03_gen43.csv
0,3,44,1024,0.798828125,0.9873046875,0.8837890625,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat03_gen44.csv
0,3,45,1024,0.8076171875,0.9853515625,0.88671875,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat03_gen45.csv
0,3,46,1024,0.7978515625,0.990234375,0.900390625,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat03_gen46.csv
0,3,47,1024,0.8056640625,0.9931640625,0.900390625,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat03_gen47.csv
0,3,48,1024,0.7880859375,0.9931640625,0.896484375,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat03_gen48.csv
0,3,49,1024,0.794921875,0.990234375,0.9072265625,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat03_gen49.csv
0,3,50,1024,0.802734375,0.990234375,0.896484375,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat03_gen50.csv
0,4,1,1024,0.8056640625,0.9970703125,0.9150390625,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat04_gen01.csv
0,4,2,1024,0.806640625,0.986328125,0.88671875,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat04_gen02.csv
0,4,3,1024,0.798828125,0.986328125,0.8916015625,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat04_gen03.csv
0,4,4,1024,0.810546875,0.9931640625,0.9130859375,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat04_gen04.csv
0,4,5,1024,0.802734375,0.9921875,0.884765625,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat04_gen05.csv
0,4,6,1024,0.8037109375,0.9912109375,0.8974609375,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat04_gen06.csv
0,4,7,1024,0.8046875,0.9873046875,0.9013671875,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat04_gen07.csv
0,4,8,1024,0.8037109375,0.9873046875,0.8837890625,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat04_gen08.csv
0,4,9,1024,0.8017578125,0.9921875,0.8974609375,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat04_gen09.csv
0,4,10,1024,0.7822265625,0.990234375,0.89453125,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat04_gen10.csv
0,4,11,1024,0.7978515625,0.98828125,0.890625,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat04_gen11.csv
0,4,12,1024,0.8125,0.98828125,0.91015625,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat04_gen12.csv
0,4,13,1024,0.8291015625,0.9970703125,0.892578125,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat04_gen13.csv
0,4,14,1024,0.8056640625,0.9892578125,0.904296875,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat04_gen14.csv
0,4,15,1024,0.8076171875,0.986328125,0.8857421875,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat04_gen15.csv
0,4,16,1024,0.8037109375,0.9921875,0.8916015625,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat04_gen16.csv
0,4,17,1024,0.80078125,0.98828125,0.8955078125,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat04_gen17.csv
0,4,18,1024,0.818359375,0.9921875,0.892578125,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat04_gen18.csv
0,4,19,1024,0.8134765625,0.990234375,0.8837890625,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat04_gen19.csv
0,4,20,1024,0.810546875,0.9892578125,0.8974609375,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat04_gen20.csv
0,4,21,1024,0.8017578125,0.9912109375,0.8916015625,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat04_gen21.csv
0,4,22,1024,0.806640625,0.98828125,0.9052734375,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat04_gen22.csv
0,4,23,1024,0.7744140625,0.994140625,0.8837890625,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat04_gen23.csv
0,4,24,1024,0.796875,0.9873046875,0.912109375,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat04_gen24.csv
0,4,25,1024,0.8056640625,0.9912109375,0.90234375,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat04_gen25.csv
0,4,26,1024,0.7919921875,0.9921875,0.90625,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat04_gen26.csv
0,4,27,1024,0.7890625,0.9892578125,0.8916015625,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat04_gen27.csv
0,4,28,1024,0.7900390625,0.98828125,0.89453125,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat04_gen28.csv
0,4,29,1024,0.8046875,0.9931640625,0.8994140625,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat04_gen29.csv
