model_id,scheme_id,scheme_name,scheme_params,regressor,ridge_alpha,fold,n_val,n_high_true_ge_1e4,mae_log10,rmse_log10,r2,pearson,spearman,median_abs_error_log10,p90_abs_error_log10,max_abs_error_log10
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.05,Ridge,100.0,3,1567,167,0.13938226098311832,0.18245181949565212,0.41242279649628755,0.6726841583244072,0.6192105417117016,0.11308026872830279,0.29014992901893016,0.9263117677553616
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_0p01,smooth_sigmoid_tail_a4_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.1,Ridge,0.01,0,1568,179,0.1412469207942383,0.1854184037023047,0.4131487021602772,0.6678914865764256,0.6334108404198233,0.1121005364849279,0.29773443043344544,0.867240517641493
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_0p01,smooth_sigmoid_tail_a4_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.1,Ridge,0.01,1,1568,164,0.1384042289926444,0.17989428801996876,0.4294715784688058,0.6862267923489848,0.639857873510551,0.11274193225609119,0.2793528076437499,0.8703815634474177
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_0p01,smooth_sigmoid_tail_a4_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.1,Ridge,0.01,2,1567,191,0.13822240058094679,0.1806246623786225,0.4723218794763857,0.7085706336561541,0.6620876082312397,0.10846701850371776,0.29663176034807326,0.8615311991639976
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_0p01,smooth_sigmoid_tail_a4_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.1,Ridge,0.01,3,1567,167,0.14309254772743377,0.18585061030304215,0.39032761570414076,0.6602760993178443,0.6134844449425108,0.11502211135015372,0.2926985551478593,0.8840846968753002
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_0p1,smooth_sigmoid_tail_a4_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.1,Ridge,0.1,0,1568,179,0.14119471440240144,0.18535850158487516,0.413527822638158,0.6681106604427368,0.6336631224955199,0.1119487328275226,0.2973653808048785,0.8670597723057831
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_0p1,smooth_sigmoid_tail_a4_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.1,Ridge,0.1,1,1568,164,0.13836102486028182,0.17984577723473938,0.42977923748711555,0.6863905178404677,0.6399943348907501,0.11266071005746392,0.27896163897110493,0.8703208646447331
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_0p1,smooth_sigmoid_tail_a4_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.1,Ridge,0.1,2,1567,191,0.1381921695113021,0.18058943414466286,0.4725276914099932,0.7086882197111319,0.662263403826359,0.10852751418734208,0.296563033763189,0.861892902278659
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_0p1,smooth_sigmoid_tail_a4_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.1,Ridge,0.1,3,1567,167,0.14304630191343934,0.18580153702861604,0.39064953738324193,0.6604317832316191,0.6135091700964074,0.11512694245202226,0.2921812570418421,0.8842737978016881
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_1,smooth_sigmoid_tail_a4_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.1,Ridge,1.0,0,1568,179,0.1407062582356313,0.18480493324884337,0.4170255596350714,0.6701421156222707,0.635733553442369,0.11085267684784395,0.29620896802719116,0.8653621362242543
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_1,smooth_sigmoid_tail_a4_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.1,Ridge,1.0,1,1568,164,0.13795358232373955,0.17939860521655962,0.4326113280825117,0.6879047581031144,0.6415942647704689,0.11198188780095508,0.27748465636446235,0.8698140602485376
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_1,smooth_sigmoid_tail_a4_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.1,Ridge,1.0,2,1567,191,0.13791711205645824,0.1802646829151206,0.4744230764963787,0.7097780287454604,0.6637765252403169,0.10925058925558062,0.2948844687995758,0.8653736571711734
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_1,smooth_sigmoid_tail_a4_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.1,Ridge,1.0,3,1567,167,0.14263074075258678,0.18535473508716352,0.39357665650018925,0.6618520305920312,0.6144961974290958,0.1149491318419491,0.2929759850325303,0.8860620796241943
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_10,smooth_sigmoid_tail_a4_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.1,Ridge,10.0,0,1568,179,0.13790085856866513,0.18167460495297622,0.43660778354562113,0.6819079402993546,0.6478582132537565,0.110646722277707,0.28718492199458606,0.8543743903959253
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_10,smooth_sigmoid_tail_a4_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.1,Ridge,10.0,1,1568,164,0.13554733630127108,0.1768947542782198,0.4483387933584455,0.6965959898237508,0.6489049288640895,0.11143722694745595,0.2738480670775015,0.8695672106469639
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_10,smooth_sigmoid_tail_a4_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.1,Ridge,10.0,2,1567,191,0.1363776768460834,0.17847604369190248,0.4848011901890168,0.7160069772247065,0.6709556863871998,0.10905904706685998,0.28785112109518723,0.8925415471749343
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_10,smooth_sigmoid_tail_a4_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.1,Ridge,10.0,3,1567,167,0.14047856114821447,0.18308369453656298,0.4083459034403818,0.6691596856272536,0.6194623075872302,0.1131208352439641,0.29009060381907814,0.89796905196593
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.1,Ridge,100.0,0,1568,179,0.1343667917342953,0.17798479539085107,0.4592603681722135,0.6981866921329642,0.6652247158135814,0.10601273788890309,0.27884461357787105,0.8406407871330437
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.1,Ridge,100.0,1,1568,164,0.13278866164975386,0.17418759189221303,0.4650946191158887,0.7072483199198807,0.6566620250424471,0.10786685755995462,0.27123795334546036,0.8877497288550469
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.1,Ridge,100.0,2,1567,191,0.1343104602488441,0.17671633628330774,0.49491044382990834,0.7235257650311443,0.6779317491689968,0.10804232193088747,0.27620746516786226,1.0234340286915646
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.1,Ridge,100.0,3,1567,167,0.13811664620435882,0.1811985277651293,0.4204674014348121,0.6752945799996246,0.620638082528266,0.11224644777263748,0.28714866597335137,0.9260988922552835
