model_id,scheme_id,scheme_name,scheme_params,regressor,ridge_alpha,tail_definition,n_tail,tail_mae_log10,tail_rmse_log10,tail_r2,tail_median_abs_error_log10,tail_p90_abs_error_log10
smooth_sigmoid_tail_a1_t0p1__ridge_alpha_0p01,smooth_sigmoid_tail_a1_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=1; temperature=0.1,Ridge,0.01,true_top_10pct,643,0.15752507923212222,0.19912950624736198,-0.3909249461733515,0.1326581979646133,0.3106913600952016
smooth_sigmoid_tail_a1_t0p1__ridge_alpha_0p01,smooth_sigmoid_tail_a1_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=1; temperature=0.1,Ridge,0.01,true_ge_1e-4,701,0.1563026631936024,0.19749564018309898,-0.3964591694355952,0.13160205034941974,0.3082009499948968
smooth_sigmoid_tail_a1_t0p1__ridge_alpha_0p1,smooth_sigmoid_tail_a1_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=1; temperature=0.1,Ridge,0.1,true_top_5pct,317,0.1671000921551799,0.21525067344236967,-0.31931576597553124,0.13502593714850475,0.3279768435880814
smooth_sigmoid_tail_a1_t0p1__ridge_alpha_0p1,smooth_sigmoid_tail_a1_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=1; temperature=0.1,Ridge,0.1,true_top_10pct,643,0.15751543566037468,0.19911336579139652,-0.390699472275301,0.1326060736165653,0.31062571308159176
smooth_sigmoid_tail_a1_t0p1__ridge_alpha_0p1,smooth_sigmoid_tail_a1_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=1; temperature=0.1,Ridge,0.1,true_ge_1e-4,701,0.15629372792795404,0.1974784441055617,-0.39621599875403524,0.13166860265729996,0.3082069959690181
smooth_sigmoid_tail_a1_t0p1__ridge_alpha_1,smooth_sigmoid_tail_a1_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=1; temperature=0.1,Ridge,1.0,true_top_5pct,317,0.16705255488877185,0.21507318575627712,-0.3171409457249861,0.13449686935350158,0.32753107063636994
smooth_sigmoid_tail_a1_t0p1__ridge_alpha_1,smooth_sigmoid_tail_a1_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=1; temperature=0.1,Ridge,1.0,true_top_10pct,643,0.1574348491432702,0.19897126397050444,-0.3887151714406001,0.13289175604544834,0.30997866384035455
smooth_sigmoid_tail_a1_t0p1__ridge_alpha_1,smooth_sigmoid_tail_a1_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=1; temperature=0.1,Ridge,1.0,true_ge_1e-4,701,0.15621827446452835,0.19732596276406703,-0.39406067799295097,0.13023609322728635,0.30826290527153377
smooth_sigmoid_tail_a1_t0p1__ridge_alpha_10,smooth_sigmoid_tail_a1_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=1; temperature=0.1,Ridge,10.0,true_top_5pct,317,0.16688499214520097,0.21440603470042913,-0.30898215021121866,0.13647891074101004,0.32192871049905536
smooth_sigmoid_tail_a1_t0p1__ridge_alpha_10,smooth_sigmoid_tail_a1_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=1; temperature=0.1,Ridge,10.0,true_top_10pct,643,0.15715431672284305,0.19847842027331078,-0.3818441101004053,0.13105565606757086,0.30982423376308915
