model_id,scheme_id,scheme_name,scheme_params,regressor,ridge_alpha,n_samples,n_high_true_ge_1e4,mae_log10,rmse_log10,r2,pearson,spearman,median_abs_error_log10,p90_abs_error_log10,max_abs_error_log10
smooth_sigmoid_tail_a1_t0p05__ridge_alpha_10,smooth_sigmoid_tail_a1_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=1; temperature=0.05,Ridge,10.0,6270,701,0.13589444908475473,0.17744509958312876,0.46133675438073973,0.6889312197524461,0.6476072438198346,0.11071491919802945,0.27850377792994074,0.9006366224591811
smooth_sigmoid_tail_a1_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a1_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=1; temperature=0.05,Ridge,100.0,6270,701,0.1330473634397752,0.17461620700773808,0.4783749686478378,0.6966875071299873,0.6544080521442337,0.10691473693764397,0.27402296672356785,0.9752200870503138
smooth_sigmoid_tail_a1_t0p1__ridge_alpha_0p01,smooth_sigmoid_tail_a1_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=1; temperature=0.1,Ridge,0.01,6270,701,0.13787205133373703,0.179620608297583,0.44804757102294646,0.6814649165488883,0.6390491924980756,0.11306952566139694,0.2840575823437404,0.9276504964370282
smooth_sigmoid_tail_a1_t0p1__ridge_alpha_0p1,smooth_sigmoid_tail_a1_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=1; temperature=0.1,Ridge,0.1,6270,701,0.13783727362729248,0.17958179157476584,0.4482861034456459,0.6815829319418373,0.6391968024281856,0.11296768936404034,0.28402465279197914,0.9270485093731651
smooth_sigmoid_tail_a1_t0p1__ridge_alpha_1,smooth_sigmoid_tail_a1_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=1; temperature=0.1,Ridge,1.0,6270,701,0.13751102128816892,0.17922139911443366,0.45049828779908074,0.6826796504221675,0.6403782103982589,0.1120815977224936,0.28368551057925107,0.9215533057010732
smooth_sigmoid_tail_a1_t0p1__ridge_alpha_10,smooth_sigmoid_tail_a1_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=1; temperature=0.1,Ridge,10.0,6270,701,0.1355474516596598,0.17713588282376705,0.4632124734194517,0.6890521283290033,0.6472249547082061,0.11017835284733613,0.2789274145247622,0.8944995031640963
smooth_sigmoid_tail_a1_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a1_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=1; temperature=0.1,Ridge,100.0,6270,701,0.1328177831536065,0.17444761663675978,0.4793817309175412,0.6968787754474525,0.6541663205191905,0.10710910784795935,0.2729930170597258,0.9743364812898028
smooth_sigmoid_tail_a1_t0p2__ridge_alpha_0p01,smooth_sigmoid_tail_a1_t0p2,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=1; temperature=0.2,Ridge,0.01,6270,701,0.13726735940225024,0.17892981594127105,0.45228485028298393,0.6818267928560177,0.6387303805385895,0.11220560231146015,0.28287921737271493,0.9334020767841458
smooth_sigmoid_tail_a1_t0p2__ridge_alpha_0p1,smooth_sigmoid_tail_a1_t0p2,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=1; temperature=0.2,Ridge,0.1,6270,701,0.13723400411644407,0.1788928772010113,0.4525109704427941,0.6819436942776674,0.6388499086097165,0.11220077572398379,0.28298801892246556,0.9328532630986879
smooth_sigmoid_tail_a1_t0p2__ridge_alpha_1,smooth_sigmoid_tail_a1_t0p2,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=1; temperature=0.2,Ridge,1.0,6270,701,0.13692165516120433,0.17854993135553737,0.4546080815147939,0.683030485500489,0.6400532520626815,0.11152666532973665,0.2822668882143516,0.9278623208265335
