model_id,bin_left,bin_right,count
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,0.07499999999999996,0.10000000000000009,334
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,0.10000000000000009,0.125,352
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,0.125,0.15000000000000013,316
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,0.15000000000000013,0.17500000000000004,265
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,0.17500000000000004,0.20000000000000018,241
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,0.20000000000000018,0.2250000000000001,196
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,0.2250000000000001,0.25,178
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,0.25,0.27500000000000013,137
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,0.27500000000000013,0.30000000000000004,99
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,0.30000000000000004,0.3250000000000002,97
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,0.3250000000000002,0.3500000000000001,65
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,0.3500000000000001,0.375,50
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,0.375,0.40000000000000013,46
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,0.40000000000000013,0.42500000000000004,35
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,0.42500000000000004,0.4500000000000002,26
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,0.4500000000000002,0.4750000000000001,27
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,0.4750000000000001,0.5,20
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,0.5,0.5250000000000001,15
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,0.5250000000000001,0.55,13
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,0.55,0.5750000000000002,12
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,0.5750000000000002,0.6000000000000001,7
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,0.6000000000000001,0.625,8
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,0.625,0.6500000000000001,9
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,0.6500000000000001,0.675,4
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,0.675,0.7000000000000002,5
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,0.7000000000000002,0.7250000000000001,1
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,0.7250000000000001,0.75,7
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,0.75,0.7750000000000001,0
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,0.7750000000000001,0.8,0
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,0.8,0.8250000000000002,1
